year,rank,title,artist,modified_title,modified_artist
1981,87,"""Tell It Like It Is""",Heart,Tell It Like It Is,Heart
1981,88,"""Smoky Mountain Rain""",Ronnie Milsap,Smoky Mountain Rain,Ronnie Milsap
1981,89,"""I Made It Through the Rain""",Barry Manilow,I Made It Through the Rain,Barry Manilow
1981,90,"""You've Lost That Lovin' Feelin'""",Hall & Oates,You've Lost That Lovin' Feelin',Hall
1981,91,"""Suddenly""",Olivia Newton-John & Cliff Richard,Suddenly,Olivia Newton-John
1981,92,"""For Your Eyes Only""",Sheena Easton,For Your Eyes Only,Sheena Easton
1981,93,"""The Beach Boys Medley""",The Beach Boys,The Beach Boys Medley,The Beach Boys
1981,94,"""Whip It""",Devo,Whip It,Devo
1981,95,"""Modern Girl""",Sheena Easton,Modern Girl,Sheena Easton
1981,96,"""Really Wanna Know You""",Gary Wright,Really Wanna Know You,Gary Wright
1981,97,"""Seven Year Ache""",Rosanne Cash,Seven Year Ache,Rosanne Cash
1981,98,"""I'm Coming Out""",Diana Ross,I'm Coming Out,Diana Ross
1981,99,"""Miss Sun""",Boz Scaggs,Miss Sun,Boz Scaggs
1981,100,"""Time Is Time""",Andy Gibb,Time Is Time,Andy Gibb
1982,1,"""Physical""",Olivia Newton-John,Physical,Olivia Newton-John
1982,2,"""Eye of the Tiger""",Survivor,Eye of the Tiger,Survivor
1982,3,"""I Love Rock 'n Roll""",Joan Jett & The Blackhearts,I Love Rock 'n Roll,Joan Jett
1982,4,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder,Ebony and Ivory,Paul McCartney
1982,5,"""Centerfold""",The J. Geils Band,Centerfold,The J. Geils Band
1982,6,"""Don't You Want Me""",The Human League,Don't You Want Me,The Human League
1982,7,"""Jack & Diane""",John Cougar,Jack & Diane,John Cougar
1982,8,"""Hurts So Good""",John Cougar,Hurts So Good,John Cougar
1982,9,"""Abracadabra""",Steve Miller Band,Abracadabra,Steve Miller Band
1982,10,"""Hard to Say I'm Sorry""",Chicago,Hard to Say I'm Sorry,Chicago
1982,11,"""Tainted Love""",Soft Cell,Tainted Love,Soft Cell
1982,12,"""Chariots of Fire""",Vangelis,Chariots of Fire,Vangelis
1982,13,"""Harden My Heart""",Quarterflash,Harden My Heart,Quarterflash
1982,14,"""Rosanna""",Toto,Rosanna,Toto
1982,15,"""I Can't Go for That (No Can Do)""",Hall & Oates,I Can't Go for That (No Can Do),Hall
1982,16,"""867-5309/Jenny""",Tommy Tutone,867-5309|Jenny,Tommy Tutone
1982,17,"""Key Largo""",Bertie Higgins,Key Largo,Bertie Higgins
1982,18,"""You Should Hear How She Talks About You""",Melissa Manchester,You Should Hear How She Talks About You,Melissa Manchester
1982,19,"""Waiting for a Girl Like You""",Foreigner,Waiting for a Girl Like You,Foreigner
1982,20,"""Don't Talk to Strangers""",Rick Springfield,Don't Talk to Strangers,Rick Springfield
1982,21,"""The Sweetest Thing (I've Ever Known)""",Juice Newton,The Sweetest Thing (I've Ever Known),Juice Newton
1982,22,"""Always on My Mind""",Willie Nelson,Always on My Mind,Willie Nelson
1982,23,"""Shake It Up""",The Cars,Shake It Up,The Cars
1982,24,"""Let It Whip""",Dazz Band,Let It Whip,Dazz Band
1982,25,"""We Got the Beat""",The Go-Go's,We Got the Beat,The Go-Go's
1982,26,"""The Other Woman""",Ray Parker Jr.,The Other Woman,Ray Parker Jr.
1982,27,"""Turn Your Love Around""",George Benson,Turn Your Love Around,George Benson
1982,28,"""Sweet Dreams""",Air Supply,Sweet Dreams,Air Supply
1982,29,"""Only the Lonely""",The Motels,Only the Lonely,The Motels
1982,30,"""Who Can It Be Now?""",Men at Work,Who Can It Be Now?,Men at Work
1982,31,"""Hold Me""",Fleetwood Mac,Hold Me,Fleetwood Mac
1982,32,"""Eye in the Sky""",The Alan Parsons Project,Eye in the Sky,The Alan Parsons Project
1982,33,"""Let's Groove""","Earth, Wind & Fire",Let's Groove,"Earth, Wind"
1982,34,"""Open Arms""",Journey,Open Arms,Journey
1982,35,"""Leader of the Band""",Dan Fogelberg,Leader of the Band,Dan Fogelberg
1982,36,"""Leather and Lace""",Stevie Nicks and Don Henley,Leather and Lace,Stevie Nicks
1982,37,"""Even the Nights Are Better""",Air Supply,Even the Nights Are Better,Air Supply
1982,38,"""I've Never Been to Me""",Charlene,I've Never Been to Me,Charlene
1982,39,"""'65 Love Affair""",Paul Davis,'65 Love Affair,Paul Davis
1982,40,"""Heat of the Moment""",Asia,Heat of the Moment,Asia
1982,41,"""Take It Easy on Me""",Little River Band,Take It Easy on Me,Little River Band
1982,42,"""Pac-Man Fever""",Buckner & Garcia,Pac-Man Fever,Buckner
1982,43,"""That Girl""",Stevie Wonder,That Girl,Stevie Wonder
1982,44,"""Private Eyes""",Hall & Oates,Private Eyes,Hall
1982,45,"""Trouble""",Lindsey Buckingham,Trouble,Lindsey Buckingham
1982,46,"""Making Love""",Roberta Flack,Making Love,Roberta Flack
1982,47,"""Love's Been a Little Bit Hard on Me""",Juice Newton,Love's Been a Little Bit Hard on Me,Juice Newton
1982,48,"""Young Turks""",Rod Stewart,Young Turks,Rod Stewart
1982,49,"""Freeze-Frame""",The J. Geils Band,Freeze-Frame,The J. Geils Band
1982,50,"""Keep the Fire Burnin'""",REO Speedwagon,Keep the Fire Burnin',REO Speedwagon
1982,51,"""Do You Believe in Love""",Huey Lewis and the News,Do You Believe in Love,Huey Lewis
1982,52,"""Cool Night""",Paul Davis,Cool Night,Paul Davis
1982,53,"""Caught Up In You""",.38 Special,Caught Up In You,.38 Special
1982,54,"""Why Do Fools Fall In Love?""",Diana Ross,Why Do Fools Fall In Love?,Diana Ross
1982,55,"""Love in the First Degree""",Alabama,Love in the First Degree,Alabama
1982,56,"""Hooked On Classics""",Royal Philharmonic Orchestra,Hooked On Classics,Royal Philharmonic Orchestra
1982,57,"""Wasted on the Way""","Crosby, Stills & Nash",Wasted on the Way,"Crosby, Stills"
1982,58,"""Think I'm in Love""",Eddie Money,Think I'm in Love,Eddie Money
1982,59,"""Love Is in Control (Finger on the Trigger)""",Donna Summer,Love Is in Control (Finger on the Trigger),Donna Summer
1982,60,"""Personally""",Karla Bonoff,Personally,Karla Bonoff
1982,61,"""One Hundred Ways""",Quincy Jones featuring James Ingram,One Hundred Ways,Quincy Jones
1982,62,"""Blue Eyes""",Elton John,Blue Eyes,Elton John
1982,63,"""Our Lips Are Sealed""",The Go-Go's,Our Lips Are Sealed,The Go-Go's
1982,64,"""You Could Have Been with Me""",Sheena Easton,You Could Have Been with Me,Sheena Easton
1982,65,"""You Can Do Magic""",America,You Can Do Magic,America
1982,66,"""Did It in a Minute""",Hall & Oates,Did It in a Minute,Hall
1982,67,"""I Ran (So Far Away)""",A Flock of Seagulls,I Ran (So Far Away),A Flock of Seagulls
1982,68,"""Somebody's Baby""",Jackson Browne,Somebody's Baby,Jackson Browne
1982,69,"""Oh No""",Commodores,Oh No,Commodores
1982,70,"""Take It Away""",Paul McCartney,Take It Away,Paul McCartney
1982,71,"""It's Gonna Take a Miracle""",Deniece Williams,It's Gonna Take a Miracle,Deniece Williams
1982,72,"""Love Will Turn You Around""",Kenny Rogers,Love Will Turn You Around,Kenny Rogers
1982,73,"""Don't Stop Believin'""",Journey,Don't Stop Believin',Journey
1982,74,"""Comin' In and Out of Your Life""",Barbra Streisand,Comin' In and Out of Your Life,Barbra Streisand
1982,75,"""Gloria""",Laura Branigan,Gloria,Laura Branigan
1982,76,"""Empty Garden (Hey Hey Johnny)""",Elton John,Empty Garden (Hey Hey Johnny),Elton John
1982,77,"""Yesterday's Songs""",Neil Diamond,Yesterday's Songs,Neil Diamond
1982,78,"""Crimson and Clover""",Joan Jett & The Blackhearts,Crimson and Clover,Joan Jett
1982,79,"""Every Little Thing She Does Is Magic""",The Police,Every Little Thing She Does Is Magic,The Police
1982,80,"""Here I Am""",Air Supply,Here I Am,Air Supply
1982,81,"""I Keep Forgettin' (Every Time You're Near)""",Michael McDonald,I Keep Forgettin' (Every Time You're Near),Michael McDonald
1982,82,"""Get Down on It""",Kool & the Gang,Get Down on It,Kool
1982,83,"""Any Day Now""",Ronnie Milsap,Any Day Now,Ronnie Milsap
1982,84,"""Make a Move on Me""",Olivia Newton-John,Make a Move on Me,Olivia Newton-John
1982,85,"""Take My Heart (You Can Have It If You Want It)""",Kool & the Gang,Take My Heart (You Can Have It If You Want It),Kool
1982,86,"""Mirror Mirror""",Diana Ross,Mirror Mirror,Diana Ross
1982,87,"""Vacation""",The Go-Go's,Vacation,The Go-Go's
1982,88,"""Oh, Pretty Woman""",Van Halen,"Oh, Pretty Woman",Van Halen
1982,89,"""Should I Do It""",The Pointer Sisters,Should I Do It,The Pointer Sisters
1982,90,"""Hot in the City""",Billy Idol,Hot in the City,Billy Idol
1982,91,"""Kids in America""",Kim Wilde,Kids in America,Kim Wilde
1982,92,"""Man on Your Mind""",Little River Band,Man on Your Mind,Little River Band
1982,93,"""What's Forever For""",Michael Murphey,What's Forever For,Michael Murphey
1982,94,"""Waiting on a Friend""",The Rolling Stones,Waiting on a Friend,The Rolling Stones
1982,95,"""Do I Do""",Stevie Wonder,Do I Do,Stevie Wonder
1982,96,"""Working for the Weekend""",Loverboy,Working for the Weekend,Loverboy
1982,97,"""Goin' Down""",Greg Guidry,Goin' Down,Greg Guidry
1982,98,"""Arthur's Theme (Best That You Can Do)""",Christopher Cross,Arthur's Theme (Best That You Can Do),Christopher Cross
1982,99,"""Through the Years""",Kenny Rogers,Through the Years,Kenny Rogers
1982,100,"""Edge of Seventeen""",Stevie Nicks,Edge of Seventeen,Stevie Nicks
1983,1,"""Every Breath You Take""",The Police,Every Breath You Take,The Police
1983,2,"""Billie Jean""",Michael Jackson,Billie Jean,Michael Jackson
1983,3,"""Flashdance... What a Feeling""",Irene Cara,Flashdance... What a Feeling,Irene Cara
1983,4,"""Down Under""",Men at Work,Down Under,Men at Work
1983,5,"""Beat It""",Michael Jackson,Beat It,Michael Jackson
1983,6,"""Total Eclipse of the Heart""",Bonnie Tyler,Total Eclipse of the Heart,Bonnie Tyler
1983,7,"""Maneater""",Hall & Oates,Maneater,Hall
1983,8,"""Baby, Come to Me""",Patti Austin and James Ingram,"Baby, Come to Me",Patti Austin
1983,9,"""Maniac""",Michael Sembello,Maniac,Michael Sembello
1983,10,"""Sweet Dreams (Are Made of This)""",Eurythmics,Sweet Dreams (Are Made of This),Eurythmics
1983,11,"""Do You Really Want to Hurt Me""",Culture Club,Do You Really Want to Hurt Me,Culture Club
1983,12,"""You and I""",Eddie Rabbitt and Crystal Gayle,You and I,Eddie Rabbitt
1983,13,"""Come On Eileen""",Dexys Midnight Runners,Come On Eileen,Dexys Midnight Runners
1983,14,"""Shame on the Moon""",Bob Seger & The Silver Bullet Band,Shame on the Moon,Bob Seger
1983,15,"""She Works Hard for the Money""",Donna Summer,She Works Hard for the Money,Donna Summer
1983,16,"""Never Gonna Let You Go""",Sérgio Mendes,Never Gonna Let You Go,Sérgio Mendes
1983,17,"""Hungry Like the Wolf""",Duran Duran,Hungry Like the Wolf,Duran Duran
1983,18,"""Let's Dance""",David Bowie,Let's Dance,David Bowie
1983,19,"""Twilight Zone""",Golden Earring,Twilight Zone,Golden Earring
1983,20,"""I Know There's Something Going On""",Frida,I Know There's Something Going On,Frida
1983,21,"""Jeopardy""",The Greg Kihn Band,Jeopardy,The Greg Kihn Band
1983,22,"""Electric Avenue""",Eddy Grant,Electric Avenue,Eddy Grant
1983,23,"""She Blinded Me with Science""",Thomas Dolby,She Blinded Me with Science,Thomas Dolby
1983,24,"""Africa""",Toto,Africa,Toto
1983,25,"""Little Red Corvette""",Prince,Little Red Corvette,Prince
1983,26,"""Back on the Chain Gang""",The Pretenders,Back on the Chain Gang,The Pretenders
1983,27,"""Up Where We Belong""",Joe Cocker and Jennifer Warnes,Up Where We Belong,Joe Cocker
1983,28,"""Mr. Roboto""",Styx,Mr. Roboto,Styx
1983,29,"""You Are""",Lionel Richie,You Are,Lionel Richie
1983,30,"""Der Kommissar""",After the Fire,Der Kommissar,After the Fire
1983,31,"""Puttin' on the Ritz""",Taco,Puttin' on the Ritz,Taco
1983,32,"""Sexual Healing""",Marvin Gaye,Sexual Healing,Marvin Gaye
1983,33,"""(Keep Feeling) Fascination""",The Human League,(Keep Feeling) Fascination,The Human League
1983,34,"""Time (Clock of the Heart)""",Culture Club,Time (Clock of the Heart),Culture Club
1983,35,"""The Safety Dance""",Men Without Hats,The Safety Dance,Men Without Hats
1983,36,"""Mickey""",Toni Basil,Mickey,Toni Basil
1983,37,"""You Can't Hurry Love""",Phil Collins,You Can't Hurry Love,Phil Collins
1983,38,"""Separate Ways (Worlds Apart)""",Journey,Separate Ways (Worlds Apart),Journey
1983,39,"""One on One""",Hall & Oates,One on One,Hall
1983,40,"""We've Got Tonight""",Kenny Rogers and Sheena Easton,We've Got Tonight,Kenny Rogers
1983,41,"""1999""",Prince,1999,Prince
1983,42,"""Stray Cat Strut""",Stray Cats,Stray Cat Strut,Stray Cats
1983,43,"""Allentown""",Billy Joel,Allentown,Billy Joel
1983,44,"""Stand Back""",Stevie Nicks,Stand Back,Stevie Nicks
1983,45,"""Tell Her About It""",Billy Joel,Tell Her About It,Billy Joel
1983,46,"""Always Something There to Remind Me""",Naked Eyes,Always Something There to Remind Me,Naked Eyes
1983,47,"""Truly""",Lionel Richie,Truly,Lionel Richie
1983,48,"""Dirty Laundry""",Don Henley,Dirty Laundry,Don Henley
1983,49,"""The Girl Is Mine""",Michael Jackson and Paul McCartney,The Girl Is Mine,Michael Jackson
1983,50,"""Too Shy""",Kajagoogoo,Too Shy,Kajagoogoo
1983,51,"""Goody Two-Shoes""",Adam Ant,Goody Two-Shoes,Adam Ant
1983,52,"""Rock the Casbah""",The Clash,Rock the Casbah,The Clash
1983,53,"""Our House""",Madness,Our House,Madness
1983,54,"""Overkill""",Men at Work,Overkill,Men at Work
1983,55,"""Is There Something I Should Know?""",Duran Duran,Is There Something I Should Know?,Duran Duran
1983,56,"""Gloria""",Laura Branigan,Gloria,Laura Branigan
1983,57,"""Affair of the Heart""",Rick Springfield,Affair of the Heart,Rick Springfield
1983,58,"""She's a Beauty""",The Tubes,She's a Beauty,The Tubes
1983,59,"""Solitaire""",Laura Branigan,Solitaire,Laura Branigan
1983,60,"""Don't Let It End""",Styx,Don't Let It End,Styx
1983,61,"""How Am I Supposed to Live Without You""",Laura Branigan,How Am I Supposed to Live Without You,Laura Branigan
1983,62,"""China Girl""",David Bowie,China Girl,David Bowie
1983,63,"""Come Dancing""",The Kinks,Come Dancing,The Kinks
1983,64,"""Promises, Promises""",Naked Eyes,"Promises, Promises",Naked Eyes
1983,65,"""The Other Guy""",Little River Band,The Other Guy,Little River Band
1983,66,"""Making Love Out of Nothing at All""",Air Supply,Making Love Out of Nothing at All,Air Supply
1983,67,"""Family Man""",Hall & Oates,Family Man,Hall
1983,68,"""Wanna Be Startin' Somethin'""",Michael Jackson,Wanna Be Startin' Somethin',Michael Jackson
1983,69,"""I Won't Hold You Back""",Toto,I Won't Hold You Back,Toto
1983,70,"""All Right""",Christopher Cross,All Right,Christopher Cross
1983,71,"""Straight from the Heart""",Bryan Adams,Straight from the Heart,Bryan Adams
1983,72,"""Heart to Heart""",Kenny Loggins,Heart to Heart,Kenny Loggins
1983,73,"""My Love""",Lionel Richie,My Love,Lionel Richie
1983,74,"""I'm Still Standing""",Elton John,I'm Still Standing,Elton John
1983,75,"""Hot Girls in Love""",Loverboy,Hot Girls in Love,Loverboy
1983,76,"""It's a Mistake""",Men at Work,It's a Mistake,Men at Work
1983,77,"""I'll Tumble 4 Ya""",Culture Club,I'll Tumble 4 Ya,Culture Club
1983,78,"""All This Love""",DeBarge,All This Love,DeBarge
1983,79,"""Your Love Is Driving Me Crazy""",Sammy Hagar,Your Love Is Driving Me Crazy,Sammy Hagar
1983,80,"""Heartbreaker""",Dionne Warwick,Heartbreaker,Dionne Warwick
1983,81,"""Faithfully""",Journey,Faithfully,Journey
1983,82,"""Steppin' Out""",Joe Jackson,Steppin' Out,Joe Jackson
1983,83,"""Take Me to Heart""",Quarterflash,Take Me to Heart,Quarterflash
1983,84,"""(She's) Sexy + 17""",Stray Cats,(She's) Sexy + 17,Stray Cats
1983,85,"""Try Again""",Champaign,Try Again,Champaign
1983,86,"""Dead Giveaway""",Shalamar,Dead Giveaway,Shalamar
1983,87,"""Lawyers in Love""",Jackson Browne,Lawyers in Love,Jackson Browne
1983,88,"""What About Me""",Moving Pictures,What About Me,Moving Pictures
1983,89,"""Human Nature""",Michael Jackson,Human Nature,Michael Jackson
1983,90,"""Photograph""",Def Leppard,Photograph,Def Leppard
1983,91,"""Pass the Dutchie""",Musical Youth,Pass the Dutchie,Musical Youth
1983,92,"""True""",Spandau Ballet,True,Spandau Ballet
1983,93,"""Far from Over""",Frank Stallone,Far from Over,Frank Stallone
1983,94,"""I've Got a Rock 'n' Roll Heart""",Eric Clapton,I've Got a Rock 'n' Roll Heart,Eric Clapton
1983,95,"""It Might Be You""",Stephen Bishop,It Might Be You,Stephen Bishop
1983,96,"""Tonight, I Celebrate My Love""",Peabo Bryson and Roberta Flack,"Tonight, I Celebrate My Love",Peabo Bryson
1983,97,"""You Got Lucky""",Tom Petty and the Heartbreakers,You Got Lucky,Tom Petty
1983,98,"""Don't Cry""",Asia,Don't Cry,Asia
1983,99,"""Breaking Us in Two""",Joe Jackson,Breaking Us in Two,Joe Jackson
